"Name","Updated","Type","Version","Section","Category","Competency ID","Competency","Rating","Rating Text","Comment"
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Quality and Health","Knowledge","Q1","Understands potential attack vectors within applications.","1","Is aware of some common attacks from OWASP such as XSS, CSRF, and SQL injection and how they may be used to take advantage of an application.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Quality and Health","Skill","Q2","Writes code that protects against potential attack vectors.","1","Can use a library to protect against common attacks from OWASP such as XSS, CSRF, and SQL injection.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Quality and Health","Behavior","Q3","Analyzes the team's applications attack surface and potential vulnerabilities.","1","Reviews new code written by themselves or others and evaluates how it may be vulnerable to attacks from OWASP.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Quality and Health","Skill","Q4","Understands the monitoring metrics and tools used by the company and how to integrate with them (e.g. logs, usage, system, security).","1","Is aware of core services, their purpose, and which tools to integrate with, but needs guidance to integrate with their application.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Quality and Health","Skill","Q5","Profiles an application to identify and implement performance enhancements.","1","Can connect a profiler to their application and understands its output to identify inefficient codeblocks.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Quality and Health","Knowledge","Q6","Understands different metrics of application health and performance.","1","Understands at a high level the signals of application health and performance and the factors that impact them.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Quality and Health","Behavior","Q7","Follows established development standards (security, performance, testing, coding style).","2","Follows company standards and understands the importance of adhering to them. Actively seeks out senior developers if unsure on best practices and when no clear company guidelines are available.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Quality and Health","Behavior","Q8","Analyzes the team's applications and fixes errors.","2","Makes fixing bugs a priority and actively works on drawing attention to them during planning. Can quickly identify and fix bugs even in code written by others.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Quality and Health","Skill","Q9","Identifies, explains, and resolves software issues.","2","Quickly resolves and fixes issues of all types within the team's applications. Works well with QA to explain bugs and help troubleshoot as well as quickly promoting changes back to be able to be tested. Completes features reliably and needs minimal back and forth with QA before their tasks are accepted and certified.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Quality and Health","Skill","Q10","Writes code that fails gracefully and handles error conditions (e.g. service failures, logging).","2","Can write robust code that defends against common error scenarios such as bad responses from services and log the appropriate information to allow quick and efficient troubleshooting. Understands the severity of different types of errors and when they should be suppressed or surfaced to the user.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Programming Concepts","Skill","C1","Writes maintainable and modular code.","3","Has written large-scale applications or libraries while maintaining solid software architecture using best practices. Writes thoughtful code that takes users into account and considers readability and comprehension a priority (principle of least surprise).",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Programming Concepts","Knowledge","C2","Understands common development principles (e.g. DRY, KISS, YAGNI).","2","Has a complete understanding of several software development philosophies, and has experience using them in practice - including when ignoring them caused issues or made development more difficult.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Programming Concepts","Knowledge","C3","Understands object-oriented programming paradigms and patterns.","2","Understands OOP and more advanced topics such as domain driven design, composition, and the law of demeter. Familiar with SOLID, GRASP, and many other design patterns such as factories, repositories, facades, decorators, etc and has used them when developing.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Programming Concepts","Knowledge","C4","Understands functional programming paradigms and patterns.","1","Understands FP basics such as first-class functions, higher-order functions, closures, immutability, and statelessness.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Programming Concepts","Knowledge","C5","Understands different methods of encryption (e.g. symmetric, asymmetric, authenticated).","1","Understands at a high level the different methods of encryption and how we use them at QL.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Tooling","Knowledge","T1","Understands the various types of testing and their importance (e.g. unit, functional, acceptance, user).","2","Understands the value of multiple types of test suites for an application or software and the different scenarios they help protect against. Knows how to write most types of tests for their team's projects.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Tooling","Behavior","T2","Writes comprehensive tests for all code.","1","Proactively writes unit tests or acceptance tests for their projects.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Tooling","Skill","T3","Performs VCS management such as committing, merging, handling conflicts.","3","Understands the meaning behind VCS commands and how they work. Comfortable with console or CLI. Can handle conflict resolution for any situation and recovering data when something goes wrong. Often helps others when they have a vcs-related issue.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Tooling","Knowledge","T4","Understands best practices for multi-person or team workflows and branch/merging strategies.","3","Has experience with multiple workflows and how they work with different team sizes. Understands the trade-offs with different development strategies and how to balance between the needs of development teams and business partners for change management. Considered an expert in this domain and helps many teams across the company improve their processes and learn optimal development and vcs processes.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Tooling","Knowledge","T5","Understands requirements and process for compiling and building applications in their domain.","2","Has an in-depth understanding of the processes run in order to build and compile their team's projects including system requirements and dependencies. Has experience with writing scripts for automating the build process and is keenly aware of the differences between compiling on a dev machine and for deployment. Aware of specific QL processes or caveats for our enterprise environment including consideration of our staging environments and network conditions. Can quickly debug issues that arise anywhere in the toolchain.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Tooling","Knowledge","T6","Understands requirements and process for deploying applications in their domain.","2","Has an in-depth understanding of the processes run in order to deploy their team's projects to multiple environments - including both on-premises and cloud. Aware of specific QL processes or caveats for our enterprise environment including consideration of our staging environments and network conditions. Can quickly debug issues that arise anywhere in the process.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Tooling","Knowledge","T7","Understands the release management pipeline and how to set up for applications in their domain.","2","Knows the entire software development process and SDLC from task intake to production deployment including requirements gathering, testing and promotion through environments. Helps define the standards and processes that the team follows for release management.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Tooling","Knowledge","T8","Understands the implications of changing or updating dependencies.","2","Understands the implications of using third party code and evaluates when to use them based on security, reliability, and community support. Knows how to use native package managers for their team's applications such as nuget, composer, npm, hex, and others. Has knowledge of vendoring, locked dependencies or shrinkwrapping, and verifying trust such as signing code and authorship.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Integration","Knowledge","I1","Understands the value of frameworks/libraries and how to use them effectively.","2","Digs deeply into framework and library documentation or code and knows the frameworks and libraries used by the team's applications in great detail.",""
"MickSESurvey2023","2023-06-29","Software Engineering","2.0.0","Integration","Knowledge","I2","Understands how to properly implement authentication and authorization.","2","Has experience with implementing both authorization and authentication for their team's applications. Understands the security requirements and concerns for gating access to sensitive data and follows best practices both from QL and the industry.",""
